,artist,track,Week,Ranking
56,Smash Mouth,Then The Morning Comes,1,83
57,Jay-Z,I Just Wanna Love U (Give It 2 Me),1,58
58,Jagged Edge,Let's Get Married,1,77
59,Filter,Take A Picture,1,91
60,"Martin, Ricky",She Bangs,1,38
61,Mystikal,Shake Ya Ass,1,97
62,BBMak,Back Here,1,99
63,"Spears, Britney",From The Bottom Of My Broken Heart,1,76
64,Third Eye Blind,Never Let You Go,1,65
65,Red Hot Chili Peppers,Otherside,1,80
66,Profyle,Liar,1,52
67,Barenaked Ladies,Pinch Me,1,77
68,Jagged Edge,He Can't Love U,1,54
69,504 Boyz,Wobble Wobble,1,57
70,Sting,Desert Rose,1,98
71,Jay-Z,Big Pimpin',1,69
72,Kid Rock,Only God Knows Why,1,63
73,Foo Fighters,Learn To Fly,1,80
74,"Dixie Chicks, The",Goodbye Earl,1,40
75,Guy,Dancin',1,46
76,Lil Bow Wow,Bounce With Me,1,48
77,Westlife,Swear It Again,1,96
78,Train,Meet Virginia,1,76
79,"Thomas, Carl",I Wish,1,75
80,Hanson,This Time Around,1,22
81,"Simpson, Jessica",I Think I'm In Love With You,1,63
82,Ludacris,What's Your Fantasy,1,89
83,Lil' Zane,Callin' Me,1,83
84,M2M,Don't Say You Love Me,1,72
85,SoulDecision,Faded,1,94
86,"Brock, Chad",Yes!,1,90
87,"Martin, Ricky",Shake Your Bon-Bon,1,74
88,Vertical Horizon,You're A God,1,64
89,Avant,Separated,1,62
90,"Rimes, LeAnn",Big Deal,1,71
91,IMx,Stay The Night,1,84
92,Dr. Dre,The Next Episode,1,78
93,"Spears, Britney",Lucky,1,61
94,Savage Garden,Crash And Burn,1,75
95,Kandi,Don't Think I'm Not,1,66
96,Sammie,I Like It,1,85
97,Goo Goo Dolls,Broadway,1,74
98,"Moore, Mandy",I Wanna Be With You,1,69
99,Dr. Dre,Forgot About Dre,1,75
100,D'Angelo,Untitled (How Does It Feel),1,77
101,"Messina, Jo Dee",That's The Way,1,78
102,Avant,My First Love,1,70
103,Son By Four,A Puro Dolor (Purest Of Pain),1,80
104,Da Brat,What'Chu Like,1,71
105,DMX,Party Up (Up In Here),1,88
106,"Dixie Chicks, The",Cowboy Take Me Away,1,79
107,"McGraw, Tim",My Next Thirty Years,1,73
108,"Tritt, Travis",Best Of Intentions,1,97
109,Alice Deejay,Better Off Alone,1,79
110,Hoku,Another Dumb Blonde,1,69
111,"Houston, Whitney",I Learned From The Best,1,83
112,Counting Crows,Hanginaround,1,84
113,Mary Mary,Shackles (Praise You),1,90
114,"Carey, Mariah",Crybaby,1,28
115,"McGraw, Tim",My Best Friend,1,85
116,Sugar Ray,Falls Apart,1,70
117,Madonna,American Pie,1,43
118,"Jones, Donell",Where I Wanna Be,1,81
119,"Paisley, Brad",We Danced,1,71
120,Lonestar,What About Now,1,78
121,"Backstreet Boys, The",The One,1,58
122,"Keith, Toby",How Do You Like Me Now?!,1,77
123,"Strait, George",The Best Day,1,73
124,"Dixie Chicks, The",Without You,1,80
125,Musiq,Just Friends (Sunny),1,89
126,"McEntire, Reba",What Do You Say,1,88
127,"Braxton, Toni",Just Be A Man About It,1,76
128,"Iglesias, Enrique",Rhythm Divine,1,90
129,"Fabian, Lara",I Will Love Again,1,91
130,Bon Jovi,It's My Life,1,64
131,"Evans, Sara",Born To Fly,1,77
132,"Chesney, Kenny",I Lost It,1,75
133,J-Shin,One Night Stand,1,96
134,Eve,Love Is Blind,1,94
135,Aaliyah,I Don't Wanna,1,84
136,"Montgomery, John Michael",The Little Girl,1,81
137,"Carter, Aaron",Aaron's Party (Come Get It),1,99
138,"Vassar, Phil",Just Another Day In Paradise,1,81
139,Ice Cube,You Can Do It,1,86
140,"Wills, Mark",Back At One,1,89
141,Lucy Pearl,Dance Tonight,1,80
142,"Jackson, Alan",It Must Be Love,1,76
143,"Griggs, Andy",She's More,1,81
144,No Doubt,Simple Kind Of Life,1,50
145,"Jean, Wyclef",911,1,77
146,Rascal Flatts,Prayin' For Daylight,1,87
147,Vitamin C,Graduation (Friends Forever),1,81
148,"Gilman, Billy",One Voice,1,86
149,Lonestar,Smile,1,89
150,"Rogers, Kenny",Buy Me A Rose,1,79
151,"Lawrence, Tracy",Lessons Learned,1,80
152,"Strait, George",Go On,1,71
153,Sisqo,Got To Get It,1,92
154,Baha Men,Who Let The Dogs Out,1,99
155,"Walker, Clay",The Chain Of Love,1,73
156,"McBride, Martina",Love's The Only House,1,79
157,Amber,Sexual (Li Da Di),1,99
158,"Tippin, Aaron",Kiss This,1,74
159,SheDaisy,I Will.. But,1,78
160,"Raye, Collin",Couldn't Last A Moment,1,91
161,Black Rob,Whoa!,1,78
162,"Jackson, Alan",Pop A Top,1,79
163,"Black, Clint",Been There,1,87
164,Common,The Light,1,75
165,"Vassar, Phil",Carlene,1,75
166,"Jackson, Alan",www.memory,1,75
167,Vitamin C,The Itch,1,86
168,"Eastsidaz, The",G'D Up,1,77
169,Ideal,Whatever,1,75
170,"Thomas, Carl",Emotional,1,77
171,Ginuwine,None Of Ur Friends Business,1,94
172,"Davidson, Clay",Unconditional,1,97
173,DMX,What You Want,1,98
174,"John, Elton",Someday Out Of The Blue,1,56
175,Pearl Jam,Nothing As It Seems,1,49
176,Mya,The Best Of Me,1,85
177,"Heatherly, Eric",Flowers On The Wall,1,95
178,Eminem,Stan,1,78
179,"McEntire, Reba",I'll Be,1,89
180,"Lopez, Jennifer",Feelin' Good,1,79
181,"Urban, Keith",Your Everything,1,81
182,TLC,Dear Lie,1,63
183,"Gill, Vince",Feels Like Love,1,82
184,"Houston, Whitney",Could I Have This Kiss Forever,1,74
185,Bloodhound Gang,The Bad Touch,1,70
186,"Williams, Robbie",Angels,1,85
187,"Messina, Jo Dee",Because You Love Me,1,83
188,"Keith, Toby",Country Comes To Town,1,82
189,Beenie Man,Girls Dem Sugar,1,72
190,"Hill, Faith",Let's Make Love,1,83
191,Kelis,Caught Out There,1,84
192,Jay-Z,Anything,1,72
193,3 Doors Down,Loser,1,76
194,Brooks & Dunn,You'll Always Be Loved By Me,1,95
195,"Chesney, Kenny",What I Need To Do,1,79
196,"Stone, Angie",No More Rain (In This Cloud),1,86
197,Da Brat,That's What I'm Looking For,1,93
198,SheDaisy,This Woman Needs,1,82
199,Papa Roach,Last Resort,1,75
200,"Adams, Yolanda",Open My Heart,1,76
201,Shyne,Bad Boyz,1,94
202,R.E.M.,The Great Beyond,1,79
203,"Diffie, Joe",It's Always Somethin',1,81
204,"McGraw, Tim",Some Things Never Change,1,76
205,"Henley, Don",Taking You Home,1,79
206,Eminem,The Way I Am,1,87
207,Nas,You Owe Me,1,74
208,Sister Hazel,Change Your Mind,1,75
209,Puff Daddy,Best Friend,1,65
210,"McBride, Martina",There You Are,1,79
211,Usher,Pop Ya Collar,1,68
212,Lil' Kim,No Matter What They Say,1,80
213,LFO,I Don't Wanna Kiss You Goodnight,1,63
214,SheDaisy,Deck The Halls,1,97
215,Splender,I Think God Can Explain,1,71
216,"Simpson, Jessica",Where You Are,1,73
217,M2M,Mirror Mirror,1,87
218,Kumbia Kings,U Don't Love Me,1,81
219,Joe,Treat Her Like A Lady,1,77
220,"Blige, Mary J.",Deep Inside,1,83
221,"Price, Kelly",You Should've Told Me,1,91
222,Changing Faces,That Other Woman,1,80
223,"Wright, Chely",It Was,1,86
224,Limp Bizkit,Rollin',1,77
225,Hot Boys,I Need A Hot Girl,1,77
226,Jay-Z,Do It Again (Put Ya Hands Up),1,95
227,"Adkins, Trace",More,1,84
228,"Dixie Chicks, The",Cold Day In July,1,80
229,"Price, Kelly",As We Lay,1,82
230,DMX,What's My Name,1,98
231,"Martin, Ricky",Private Emotion,1,76
232,Nine Days,If I Am,1,68
233,"Blige, Mary J.",Give Me You,1,97
234,Red Hot Chili Peppers,Californication,1,72
235,Third Eye Blind,Deep Inside Of You,1,80
236,"Brooks, Garth",Do What You Gotta Do,1,86
237,"Offspring, The",Original Prankster,1,74
238,"Anthony, Marc",My Baby You,1,82
239,"Houston, Whitney","Same Script, Different Cast",1,71
240,D'Angelo,Left & Right,1,93
241,"Kravitz, Lenny",I Belong To You,1,78
242,"Loveless, Patty",That's The Kind Of Mood I'm In,1,98
243,Q-Tip,Breathe And Stop,1,71
244,"Rimes, LeAnn",Can't Fight The Moonlight,1,82
245,Lil Wayne,Tha Block Is Hot,1,99
246,2 Pac,Baby Don't Cry (Keep Ya Head Up II),1,87
247,"Wallflowers, The",Sleepwalker,1,73
248,Drama,"Left, Right, Left",1,100
249,Limp Bizkit,N 2 Gether Now,1,94
250,Lox,"Ryde or Die, Chick",1,86
251,Ying Yang Twins,Whistle While You Twurk,1,95
252,"Walker, Clay","Live, Laugh, Love",1,95
253,Metallica,No Leaf Clover (Live),1,86
254,Yankee Grey,Another Nine Minutes,1,86
255,"Bega, Lou",Tricky Tricky ,1,75
256,Big Punisher,It's So Hard,1,96
257,"Worley, Darryl",When You Need My Love,1,98
258,Lil' Kim,How Many Licks?,1,79
259,"Clark, Terri",A Little Gasoline,1,75
260,"Brock, Chad",A Country Boy Can Survive,1,93
261,"Cagle, Chris",My Love Goes On And On,1,99
262,"Byrd, Tracy",Put Your Hand In Mine,1,81
263,Metallica,I Disappear,1,86
264,Jay-Z,Hey Papi,1,98
265,Fatboy Slim,The Rockafeller Skank,1,94
266,"Levert, Gerald",Mr. Too Damn Good,1,84
267,"McKnight, Brian",Stay Or Let It Go,1,95
268,"Allan, Gary",Smoke Rings In The Dark,1,80
269,Ginuwine,The Best Man I Can Be,1,97
270,Before Dark,Monica,1,95
271,"Estefan, Gloria",No Me Dejes De Querer,1,77
272,Stone Temple Pilots,Sour Girl,1,79
273,Montgomery Gentry,Daddy Won't Sell The Farm,1,87
274,"Cyrus, Billy Ray",You Won't Be Lonely Now,1,97
275,Clark Family Experience,Meanwhile Back At The Ranch,1,87
276,"Thomas, Carl",Summer Rain,1,82
277,"Yearwood, Trisha",Real Live Woman,1,85
278,Trick Daddy,Shut Up,1,99
279,"Moore, Chante",Straight Up,1,98
280,Cam'ron,What Means The World To You,1,94
281,Juvenile,U Understand,1,85
282,"Hollister, Dave",Can't Stay,1,84
283,Tamia,Can't Go For That,1,90
284,LFO,West Side Story,1,96
285,"Paisley, Brad",Me Neither,1,87
286,"Carter, Torrey",Take That,1,94
287,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),1,91
288,Madison Avenue,Don't Call Me Baby,1,98
289,Eve,Got It All,1,89
290,Limp Bizkit,Re-Arranged,1,91
291,"Spencer, Tracie",Still In My Heart,1,95
292,Nu Flavor,3 Little Words,1,97
293,Tamar,If You Don't Wanna Love Me,1,98
294,"Levert, Gerald",Baby U Are,1,96
295,"Hart, Beth",L.A. Song,1,99
296,"Diffie, Joe",The Quittin' Kind,1,98
297,Funkmaster Flex,Do You,1,92
298,"Price, Kelly",Love Sets You Free,1,92
299,En Vogue,Riddle,1,92
300,"Herndon, Ty",No Mercy,1,100
301,Anastacia,I'm Outta Love,1,92
302,Trina,Pull Over,1,97
303,Lil' Mo,Ta Da,1,100
304,A*Teens,Dancing Queen,1,97
305,"Sheist, Shade",Where I Wanna Be,1,96
306,De La Soul,All Good?,1,96
307,"Larrieux, Amel",Get Up,1,100
308,"Braxton, Toni",Spanish Guitar,1,98
309,Tuesday,I Know,1,98
310,LL Cool J,Imagine That,1,99
311,Master P,Souljas,1,98
312,Ghostface Killah,Cherchez LaGhost,1,98
313,"Smith, Will",Freakin' It,1,99
314,Zombie Nation,Kernkraft 400,1,99
315,"Eastsidaz, The",Got Beef,1,99
316,Fragma,Toca's Miracle,1,99
317,Destiny's Child,Independent Women Part I,2,63
318,Santana,"Maria, Maria",2,8
319,Savage Garden,I Knew I Loved You,2,48
320,Madonna,Music,2,23
321,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2,47
322,Janet,Doesn't Really Matter,2,52
323,Destiny's Child,Say My Name,2,83
324,"Iglesias, Enrique",Be With You,2,45
325,Sisqo,Incomplete,2,66
326,Lonestar,Amazed,2,54
327,N'Sync,It's Gonna Be Me,2,70
328,"Aguilera, Christina",What A Girl Wants,2,51
329,Vertical Horizon,Everything You Want,2,61
330,Creed,With Arms Wide Open,2,78
331,Aaliyah,Try Again,2,53
332,matchbox twenty,Bent,2,37
333,"Carey, Mariah",Thank God I Found You,2,68
334,"Hill, Faith",Breathe,2,68
335,Mya,Case Of The Ex (Whatcha Gonna Do),2,57
336,Dream,He Loves U Not,2,92
337,"Braxton, Toni",He Wasn't Man Enough,2,55
338,"Anthony, Marc",You Sang To Me,2,54
339,98¡,Give Me Just One Night (Una Noche),2,39
340,Destiny's Child,Jumpin' Jumpin',2,71
341,3 Doors Down,Kryptonite,2,70
342,Sisqo,Thong Song,2,63
343,"Aguilera, Christina",I Turn To You,2,39
344,"Houston, Whitney",My Love Is Your Love,2,68
345,Joe,I Wanna Know,2,86
346,"Jordan, Montell",Get It On.. Tonite,2,80
347,N'Sync,Bye Bye Bye,2,20
348,Eminem,The Real Slim Shady,2,32
349,Pink,Most Girls,2,70
350,"Mumba, Samantha",Gotta Tell You,2,72
351,Blaque,Bring It All To Me,2,63
352,"Elliott, Missy ""Misdemeanor""",Hot Boyz,2,21
353,"Gray, Macy",I Try,2,51
354,N'Sync,This I Promise You,2,31
355,Ruff Endz,No More,2,38
356,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,2,62
357,Nine Days,Absolutely (Story Of A Girl),2,71
358,"Dion, Celine",That's The Way It Is,2,68
359,Blink-182,All The Small Things,2,76
360,Eiffel 65,Blue (Da Ba Dee),2,29
361,"Badu, Erkyah",Bag Lady,2,53
362,Pink,There U Go,2,15
363,Creed,Higher,2,77
364,Nelly,(Hot S**t) Country Grammar,2,99
365,Next,Wifey,2,61
366,Kenny G,Auld Lang Syne (The Millenium Mix),2,89
367,Sonique,It Feels So Good,2,52
368,"Spears, Britney",Oops!.. I Did It Again,2,38
369,"Backstreet Boys, The",Shape Of My Heart,2,25
370,Everclear,Wonderful,2,69
371,Ja Rule,Between Me And You,2,74
372,"Rimes, LeAnn",I Need You,2,68
373,Smash Mouth,Then The Morning Comes,2,59
374,Jay-Z,I Just Wanna Love U (Give It 2 Me),2,45
375,Jagged Edge,Let's Get Married,2,66
376,Filter,Take A Picture,2,74
377,"Martin, Ricky",She Bangs,2,28
378,Mystikal,Shake Ya Ass,2,90
379,BBMak,Back Here,2,86
380,"Spears, Britney",From The Bottom Of My Broken Heart,2,59
381,Third Eye Blind,Never Let You Go,2,32
382,Red Hot Chili Peppers,Otherside,2,72
383,Profyle,Liar,2,32
384,Barenaked Ladies,Pinch Me,2,76
385,Jagged Edge,He Can't Love U,2,32
386,504 Boyz,Wobble Wobble,2,34
387,Sting,Desert Rose,2,88
388,Jay-Z,Big Pimpin',2,52
389,Kid Rock,Only God Knows Why,2,47
390,Foo Fighters,Learn To Fly,2,69
391,"Dixie Chicks, The",Goodbye Earl,2,29
392,Guy,Dancin',2,29
393,Lil Bow Wow,Bounce With Me,2,35
394,Westlife,Swear It Again,2,82
395,Train,Meet Virginia,2,67
396,"Thomas, Carl",I Wish,2,64
397,Hanson,This Time Around,2,22
398,"Simpson, Jessica",I Think I'm In Love With You,2,52
399,Ludacris,What's Your Fantasy,2,83
400,Lil' Zane,Callin' Me,2,89
401,M2M,Don't Say You Love Me,2,53
402,SoulDecision,Faded,2,90
403,"Brock, Chad",Yes!,2,77
404,"Martin, Ricky",Shake Your Bon-Bon,2,66
405,Vertical Horizon,You're A God,2,55
406,Avant,Separated,2,32
407,"Rimes, LeAnn",Big Deal,2,52
408,IMx,Stay The Night,2,61
409,Dr. Dre,The Next Episode,2,67
410,"Spears, Britney",Lucky,2,41
411,Savage Garden,Crash And Burn,2,58
412,Kandi,Don't Think I'm Not,2,66
413,Sammie,I Like It,2,68
414,Goo Goo Dolls,Broadway,2,58
415,"Moore, Mandy",I Wanna Be With You,2,63
416,Dr. Dre,Forgot About Dre,2,55
417,D'Angelo,Untitled (How Does It Feel),2,56
418,"Messina, Jo Dee",That's The Way,2,67
419,Avant,My First Love,2,62
420,Son By Four,A Puro Dolor (Purest Of Pain),2,80
421,Da Brat,What'Chu Like,2,65
422,DMX,Party Up (Up In Here),2,74
423,"Dixie Chicks, The",Cowboy Take Me Away,2,72
424,"McGraw, Tim",My Next Thirty Years,2,62
425,"Tritt, Travis",Best Of Intentions,2,86
426,Alice Deejay,Better Off Alone,2,65
427,Hoku,Another Dumb Blonde,2,49
428,"Houston, Whitney",I Learned From The Best,2,83
429,Counting Crows,Hanginaround,2,70
430,Mary Mary,Shackles (Praise You),2,76
431,"Carey, Mariah",Crybaby,2,34
432,"McGraw, Tim",My Best Friend,2,76
433,Sugar Ray,Falls Apart,2,64
434,Madonna,American Pie,2,35
435,"Jones, Donell",Where I Wanna Be,2,71
436,"Paisley, Brad",We Danced,2,68
437,Lonestar,What About Now,2,72
438,"Backstreet Boys, The",The One,2,50
439,"Keith, Toby",How Do You Like Me Now?!,2,72
440,"Strait, George",The Best Day,2,64
441,"Dixie Chicks, The",Without You,2,70
442,Musiq,Just Friends (Sunny),2,83
443,"McEntire, Reba",What Do You Say,2,76
444,"Braxton, Toni",Just Be A Man About It,2,69
445,"Iglesias, Enrique",Rhythm Divine,2,84
446,"Fabian, Lara",I Will Love Again,2,80
447,Bon Jovi,It's My Life,2,58
448,"Evans, Sara",Born To Fly,2,71
449,"Chesney, Kenny",I Lost It,2,67
450,J-Shin,One Night Stand,2,96
451,Eve,Love Is Blind,2,91
452,Aaliyah,I Don't Wanna,2,62
453,"Montgomery, John Michael",The Little Girl,2,67
454,"Carter, Aaron",Aaron's Party (Come Get It),2,75
455,"Vassar, Phil",Just Another Day In Paradise,2,81
456,Ice Cube,You Can Do It,2,66
457,"Wills, Mark",Back At One,2,55
458,Lucy Pearl,Dance Tonight,2,75
459,"Jackson, Alan",It Must Be Love,2,74
460,"Griggs, Andy",She's More,2,76
461,No Doubt,Simple Kind Of Life,2,40
462,"Jean, Wyclef",911,2,74
463,Rascal Flatts,Prayin' For Daylight,2,78
464,Vitamin C,Graduation (Friends Forever),2,64
465,"Gilman, Billy",One Voice,2,86
466,Lonestar,Smile,2,80
467,"Rogers, Kenny",Buy Me A Rose,2,72
468,"Lawrence, Tracy",Lessons Learned,2,73
469,"Strait, George",Go On,2,67
470,Sisqo,Got To Get It,2,76
471,Baha Men,Who Let The Dogs Out,2,92
472,"Walker, Clay",The Chain Of Love,2,65
473,"McBride, Martina",Love's The Only House,2,69
474,Amber,Sexual (Li Da Di),2,99
475,"Tippin, Aaron",Kiss This,2,72
476,SheDaisy,I Will.. But,2,74
477,"Raye, Collin",Couldn't Last A Moment,2,85
478,Black Rob,Whoa!,2,59
479,"Jackson, Alan",Pop A Top,2,73
480,"Black, Clint",Been There,2,73
481,Common,The Light,2,55
482,"Vassar, Phil",Carlene,2,67
483,"Jackson, Alan",www.memory,2,59
484,Vitamin C,The Itch,2,48
485,"Eastsidaz, The",G'D Up,2,77
486,Ideal,Whatever,2,75
487,"Thomas, Carl",Emotional,2,63
488,Ginuwine,None Of Ur Friends Business,2,84
489,"Davidson, Clay",Unconditional,2,97
490,DMX,What You Want,2,95
491,"John, Elton",Someday Out Of The Blue,2,56
492,Pearl Jam,Nothing As It Seems,2,70
493,Mya,The Best Of Me,2,70
494,"Heatherly, Eric",Flowers On The Wall,2,88
495,Eminem,Stan,2,67
496,"McEntire, Reba",I'll Be,2,79
497,"Lopez, Jennifer",Feelin' Good,2,79
498,"Urban, Keith",Your Everything,2,80
499,TLC,Dear Lie,2,55
500,"Gill, Vince",Feels Like Love,2,76
501,"Houston, Whitney",Could I Have This Kiss Forever,2,68
502,Bloodhound Gang,The Bad Touch,2,62
503,"Williams, Robbie",Angels,2,77
504,"Messina, Jo Dee",Because You Love Me,2,78
505,"Keith, Toby",Country Comes To Town,2,78
506,Beenie Man,Girls Dem Sugar,2,72
507,"Hill, Faith",Let's Make Love,2,83
508,Kelis,Caught Out There,2,68
509,Jay-Z,Anything,2,58
510,3 Doors Down,Loser,2,76
511,Brooks & Dunn,You'll Always Be Loved By Me,2,85
512,"Chesney, Kenny",What I Need To Do,2,74
513,"Stone, Angie",No More Rain (In This Cloud),2,86
514,Da Brat,That's What I'm Looking For,2,73
515,SheDaisy,This Woman Needs,2,70
516,Papa Roach,Last Resort,2,71
517,"Adams, Yolanda",Open My Heart,2,76
518,Shyne,Bad Boyz,2,87
519,R.E.M.,The Great Beyond,2,79
520,"Diffie, Joe",It's Always Somethin',2,78
521,"McGraw, Tim",Some Things Never Change,2,66
522,"Henley, Don",Taking You Home,2,77
523,Eminem,The Way I Am,2,74
524,Nas,You Owe Me,2,72
525,Sister Hazel,Change Your Mind,2,67
526,Puff Daddy,Best Friend,2,59
527,"McBride, Martina",There You Are,2,75
528,Usher,Pop Ya Collar,2,64
529,Lil' Kim,No Matter What They Say,2,72
530,LFO,I Don't Wanna Kiss You Goodnight,2,61
531,SheDaisy,Deck The Halls,2,61
532,Splender,I Think God Can Explain,2,66
533,"Simpson, Jessica",Where You Are,2,66
534,M2M,Mirror Mirror,2,87
535,Kumbia Kings,U Don't Love Me,2,64
536,Joe,Treat Her Like A Lady,2,75
537,"Blige, Mary J.",Deep Inside,2,80
538,"Price, Kelly",You Should've Told Me,2,91
539,Changing Faces,That Other Woman,2,72
540,"Wright, Chely",It Was,2,78
541,Limp Bizkit,Rollin',2,73
542,Hot Boys,I Need A Hot Girl,2,75
543,Jay-Z,Do It Again (Put Ya Hands Up),2,68
544,"Adkins, Trace",More,2,84
545,"Dixie Chicks, The",Cold Day In July,2,79
546,"Price, Kelly",As We Lay,2,69
547,DMX,What's My Name,2,76
548,"Martin, Ricky",Private Emotion,2,67
549,Nine Days,If I Am,2,68
550,"Blige, Mary J.",Give Me You,2,94
551,Red Hot Chili Peppers,Californication,2,72
552,Third Eye Blind,Deep Inside Of You,2,73
553,"Brooks, Garth",Do What You Gotta Do,2,81
554,"Offspring, The",Original Prankster,2,71
555,"Anthony, Marc",My Baby You,2,76
556,"Houston, Whitney","Same Script, Different Cast",2,71
557,D'Angelo,Left & Right,2,77
558,"Kravitz, Lenny",I Belong To You,2,77
559,"Loveless, Patty",That's The Kind Of Mood I'm In,2,93
560,Q-Tip,Breathe And Stop,2,71
561,"Rimes, LeAnn",Can't Fight The Moonlight,2,71
562,Lil Wayne,Tha Block Is Hot,2,89
563,2 Pac,Baby Don't Cry (Keep Ya Head Up II),2,82
564,"Wallflowers, The",Sleepwalker,2,73
565,Drama,"Left, Right, Left",2,98
566,Limp Bizkit,N 2 Gether Now,2,88
567,Lox,"Ryde or Die, Chick",2,73
568,Ying Yang Twins,Whistle While You Twurk,2,94
569,"Walker, Clay","Live, Laugh, Love",2,95
570,Metallica,No Leaf Clover (Live),2,81
571,Yankee Grey,Another Nine Minutes,2,83
572,"Bega, Lou",Tricky Tricky ,2,74
573,Big Punisher,It's So Hard,2,87
574,"Worley, Darryl",When You Need My Love,2,88
575,Lil' Kim,How Many Licks?,2,75
576,"Clark, Terri",A Little Gasoline,2,82
577,"Brock, Chad",A Country Boy Can Survive,2,75
578,"Cagle, Chris",My Love Goes On And On,2,94
579,"Byrd, Tracy",Put Your Hand In Mine,2,77
580,Metallica,I Disappear,2,84
581,Jay-Z,Hey Papi,2,100
582,Fatboy Slim,The Rockafeller Skank,2,94
583,"Levert, Gerald",Mr. Too Damn Good,2,83
584,"McKnight, Brian",Stay Or Let It Go,2,92
585,"Allan, Gary",Smoke Rings In The Dark,2,78
586,Ginuwine,The Best Man I Can Be,2,97
587,Before Dark,Monica,2,87
588,"Estefan, Gloria",No Me Dejes De Querer,2,101
589,Stone Temple Pilots,Sour Girl,2,79
590,Montgomery Gentry,Daddy Won't Sell The Farm,2,83
591,"Cyrus, Billy Ray",You Won't Be Lonely Now,2,97
592,Clark Family Experience,Meanwhile Back At The Ranch,2,86
593,"Thomas, Carl",Summer Rain,2,82
594,"Yearwood, Trisha",Real Live Woman,2,83
595,Trick Daddy,Shut Up,2,95
596,"Moore, Chante",Straight Up,2,98
597,Cam'ron,What Means The World To You,2,94
598,Juvenile,U Understand,2,83
599,"Hollister, Dave",Can't Stay,2,84
600,Tamia,Can't Go For That,2,86
601,LFO,West Side Story,2,84
602,"Paisley, Brad",Me Neither,2,85
603,"Carter, Torrey",Take That,2,88
604,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2,87
605,Madison Avenue,Don't Call Me Baby,2,96
606,Eve,Got It All,2,88
607,Limp Bizkit,Re-Arranged,2,91
608,"Spencer, Tracie",Still In My Heart,2,88
609,Nu Flavor,3 Little Words,2,97
610,Tamar,If You Don't Wanna Love Me,2,98
611,"Levert, Gerald",Baby U Are,2,89
612,"Hart, Beth",L.A. Song,2,100
613,"Diffie, Joe",The Quittin' Kind,2,100
614,Funkmaster Flex,Do You,2,92
615,"Price, Kelly",Love Sets You Free,2,91
616,En Vogue,Riddle,2,92
617,"Herndon, Ty",No Mercy,2,99
618,Anastacia,I'm Outta Love,2,101
619,Trina,Pull Over,2,93
620,Lil' Mo,Ta Da,2,99
621,A*Teens,Dancing Queen,2,97
